name,transcript,sample1,sample2,sample3,sample4,sample5,sample6,sample7
Gene44732,uc302599.1;uc400130.3,138.42,145.89,132.12,128.08,142.97,123.84,123.7
Gene15329,uc774640.3,123.32,122.43,127.81,135.66,125.77,134.51,144.42
Gene10409,uc104848.1,148.84,145.93,147.78,131.35,139.32,137.36,132.84
Gene42118,uc632198.1,149.6,120.95,137.3,144.37,148.53,142.29,138.01
Gene33886,uc574198.3,137.03,131.85,138.55,149.6,139.01,125.18,138.21
Gene29565,uc434386.3;uc612635.2,148.97,122.63,128.1,145.75,133.92,133.83,125.82
Gene24524,uc618850.2;uc849577.3,137.4,146.69,122.99,138.26,122.54,122.68,149.46
Gene4546,uc497741.3,145.41,138.25,127.29,125.32,139.67,126.76,148.88
Gene16143,uc775189.3;uc695364.2,146.04,125.86,121.01,148.66,125.81,120.24,139.99
Gene33260,uc137724.3;uc876083.3,138.07,126.68,128.28,140.24,135.83,134.6,141.88
Gene39399,uc949745.3,121.86,141.98,135.07,132.48,126.89,125.71,124.18
Gene2156,uc600030.1,127.42,142.36,147.82,143.6,129.98,143.61,139.91
Gene18841,uc360105.3,147.86,135.69,142.74,131.35,144.14,128.22,145.93
Gene22026,uc955584.2;uc771265.3,131.55,132.29,139.44,126,121.4,120.95,126.39
Gene46460,uc629050.3,138.83,148.31,140.6,128.14,130.75,131.08,137.77
Gene11976,uc788913.3,133.36,121.79,129.65,124.8,135.35,129.62,128.9
Gene1250,uc553330.1,144.13,144.4,146.2,139.87,148.83,132.16,144.07
Gene2229,uc928745.3;uc411847.3,136.32,123.15,144.68,149.68,126.97,148.07,128.98
Gene18724,uc327466.3;uc536706.1,134.69,137.9,145.13,137.22,127.62,139.79,120.08
Gene14506,uc274160.3;uc302983.2,140.08,126.99,129.1,136.72,138.74,135.41,146.22
Gene7711,uc486394.3,128.07,124.68,145.35,146.24,135.41,140.1,149.28
Gene2890,uc842954.1;uc432995.2,127.47,147.2,126.62,144.92,137.52,139.75,122.73
Gene9490,uc511894.2;uc432805.1,146.8,149.88,144.55,120.49,122.62,130.04,129.2
Gene30866,uc350642.1,121.02,139.75,141,141.96,147.95,139.75,121.72
Gene44814,uc257146.3,137.52,124.73,121.6,137.4,125.36,143.78,129.95
Gene6613,uc305468.2,147.7,126.63,122.44,130.36,124.69,148.53,131.59
Gene12165,uc438176.1,144.28,136.2,136.51,122.6,148.23,134.73,140.24
Gene18826,uc588187.1,143.23,149.39,126.7,130.35,145.37,141.81,132.01
Gene45191,uc217606.2,136.23,147,135.82,130.46,128.64,134.29,127.47
Gene36012,uc356696.1,142.73,141.95,132.63,136.02,142.52,148.41,147.47
Gene45812,uc459433.1,139.42,120.95,142.54,124.53,134.27,140.9,136.67
Gene3685,uc786006.3,139.11,139.75,137.65,125.71,132.1,130.82,136.13
Gene18462,uc114532.3;uc410052.1,134.16,140.97,137.07,138.59,139.18,144.85,123.24
Gene41127,uc832669.1,127.84,126.79,141.52,136.33,142.97,142.31,137.04
Gene25064,uc149545.2,129.95,141.25,131.46,129.35,133.69,123.7,123.79
Gene31874,uc924167.1,135.92,125.28,126.42,138.53,129.49,123.73,148.76
Gene43935,uc843352.1;uc402941.1,143.75,145.03,123.76,126.15,136.49,131.67,135.22
Gene45506,uc879508.2;uc465463.3,135.23,121.59,147.25,138.07,149.87,138.58,129.26
Gene6482,uc562916.1,138.13,131.02,137.67,137.55,142.62,126.5,122.26
Gene41874,uc266586.2,131.14,143.61,143.91,123.25,130.06,143.47,127.02
Gene19211,uc485017.2,145.31,129.62,132.02,142.7,133.76,146.29,136.25
Gene37085,uc449827.2,135.82,148.01,149.39,132.45,121.03,121.74,123.56
Gene21392,uc253938.2,138.64,137.68,129.99,133.32,140.11,139.69,137.5
Gene40396,uc826195.2;uc133929.3,141.12,125.41,145.84,133.33,149.91,125.42,142.67
Gene16660,uc220999.3;uc673451.2,141.75,147.3,147.91,141.49,122.64,123.96,129.71
Gene13515,uc441737.3,133.88,136.36,121.38,121.82,131.03,122.91,149.19
Gene9986,uc590868.1,129.82,126.86,120.63,146.39,133.94,144.38,129.7
Gene1311,uc333559.3,121.84,147.23,125.81,140.86,142.56,139.71,128.74
Gene10537,uc253304.1;uc418081.1,122.21,137.8,126.68,139.02,126.94,133.08,124.24
Gene42608,uc129028.3;uc114368.3,132.54,131.54,120.51,123.71,138.78,121.55,125.88
Gene21298,uc262370.2;uc901916.1,120.15,138.58,123.6,130.72,149.74,120.39,128.04
Gene40553,uc487848.3,130.04,121.33,147.62,129.33,127.61,125.58,127.45
Gene29111,uc559840.2,139.95,122.35,144.41,124.87,141.83,120.06,134.62
Gene6912,uc481326.1;uc811625.2,124.25,127.62,126.08,130.47,121.65,145.06,144.26
Gene34204,uc490061.2,137.54,127.93,126.46,137.47,130.65,122.75,135.79
Gene44182,uc108228.1,131.3,147.08,127.99,133.62,141.26,136.5,148.42
Gene6977,uc551874.2;uc444992.3,141.94,129.19,127.08,136.25,125.66,131.34,147.71
Gene25100,uc367653.1,133.76,122.82,144.77,135.98,134.6,149.7,126.43
Gene42623,uc962590.1;uc472094.1,122.23,128.92,126.17,135.85,132.74,129.58,133.07
Gene14828,uc432187.2,132.86,129.25,120.04,130.13,143.25,124.45,134.99
Gene1597,uc728904.3,132.74,138.41,124.93,140.16,136.25,128.32,135.62
Gene43786,uc857278.2;uc326866.2,147.56,126.77,126.24,123.46,121.81,129.93,136.24
Gene19444,uc714195.3,146.09,142.17,123.81,145.58,122.98,141.43,122.4
Gene37973,uc757138.3;uc796568.1,141.62,136.16,121.58,148.05,130.08,149.05,125.73
Gene2954,uc147371.3,133.89,121.75,137.2,130.57,137.66,124.92,135.71
Gene6605,uc115788.2,132.58,126.97,132.91,125.48,120.56,143.65,148.43
Gene38737,uc593470.2;uc905276.3,145.37,144.66,120.91,120.33,133.28,145.31,144.27
Gene45844,uc489645.2,138.78,128,149.21,128.59,137.78,139.36,144.38
Gene1555,uc623006.3,125.95,142.05,130.72,146.68,124.58,140,147.58
Gene18511,uc870643.3,127.63,137.26,126.92,121.48,123.49,139.85,137.24
Gene43396,uc129111.3;uc864518.1,131.44,141.72,130.12,129.78,149.33,134.88,134.22
Gene12933,uc519975.1,138.39,142.79,132.26,127.98,139.5,132.6,125.51
Gene7108,uc760453.3,120.34,126.43,127.42,148.85,140.14,127.57,121.12
Gene34324,uc448414.3,129.78,132.32,131.74,145.11,144.56,132.97,139.52
Gene47853,uc320019.3,131.85,140.33,130.27,139.97,132.58,148.12,135.63
Gene36884,uc249486.3;uc593412.3,137.99,138.55,136.21,142.2,120.01,124.46,130.44
Gene5415,uc770269.1;uc154425.1,140.49,134.03,132.38,120.38,149.54,129.4,145.41
Gene26942,uc585495.1,134.65,135.48,146.13,140.53,143.92,144.4,137.32
Gene27910,uc763521.1,120.67,136.57,134.35,120.55,129.66,142.1,147.65
Gene13343,uc252148.1;uc915421.2,120.99,131.48,145.39,147.27,148.69,147.5,127.5
Gene36455,uc461150.2,122.39,127.34,149.93,129.77,127.14,130.06,147.48
Gene40519,uc186274.1;uc217579.1,126.77,123.52,133.96,144.51,122.53,131.27,139.37
Gene10178,uc745261.1,146.95,140.73,130.17,138.93,132.65,141.46,128.94
Gene42217,uc468521.2,130.53,132.71,126.97,127.05,130.53,142.56,137.53
Gene2222,uc163174.3,121.09,125.58,142.71,132.6,127.48,130.16,140.48
Gene1159,uc877177.2;uc605821.2,141.62,126,146.94,145.59,138.94,120.86,147.68
Gene27455,uc303355.1,135.58,149.62,140.68,145.22,141.66,134.76,136.01
Gene33011,uc694091.3,132.38,132.14,127.01,131.99,129.59,141.06,133.31
Gene39075,uc856314.1,132.17,143.14,120.18,129.26,129.49,122.07,120.06
Gene28728,uc126290.3,129.75,128.84,148.02,137.39,121.68,145.65,123.56
Gene38683,uc512820.1,132.08,134.52,128.87,133.82,128.15,133.67,146.59
Gene14291,uc338225.2,142.88,139.41,149.29,139.4,131.63,138.45,129.81
Gene43638,uc262165.3;uc225524.3,149.87,144.39,138.66,145.75,134.91,128.07,126.01
Gene31701,uc779226.2,124.57,126.69,145.09,140.57,140.42,134.52,143.22
Gene26098,uc288885.3;uc540589.2,134.96,140.92,147.39,149.78,145.1,142.65,137.18
Gene13599,uc530801.3,134.93,144.1,129.28,133.57,120.23,141.83,124.82
Gene28529,uc536398.2,135.21,130.6,142.89,127.55,139.17,127.5,140.74
Gene17483,uc873396.2,129.29,141.83,149.89,132.92,147.96,120.31,141.88
Gene26200,uc581161.3;uc732192.1,149.95,122.8,149.52,122.13,139.71,141.31,127.77
Gene33535,uc822060.3,125.96,126.93,123.19,130.16,128.61,149.95,146.89
Gene29436,uc580286.2,148.02,130.99,133.13,124.59,124.22,142.64,143.63
Gene17378,uc188820.2;uc962597.2,141.45,123.75,134.16,135.8,145.35,145.55,131.28
Gene30238,uc593794.3,145.58,129.89,139.36,148.63,127.75,135.99,147.88
Gene2952,uc399568.2,131.77,122.84,131.71,129.87,139.56,138.21,130.72
Gene3473,uc939213.3;uc951379.1,128.9,124.93,132,130.46,139.34,127.94,138.02
Gene45886,uc332245.3,130.59,129.41,129.48,122.2,145.65,127.3,147.9
Gene32051,uc238556.3,139.32,145.81,123.33,121.02,121,121.12,132.09
Gene7652,uc344809.3,121.53,145.28,129.85,122.31,122.03,136.67,122.06
Gene50583,uc712274.2;uc117138.3,123.49,136.84,148.08,148.69,129.77,136.04,140.59
Gene35300,uc498583.2;uc547196.3,132.24,142.88,145.44,123.85,148.99,140.4,131.52
Gene3859,uc739387.1,129.59,145.09,141.11,121.82,145.67,138,133.92
Gene18635,uc527800.1,127.61,124.6,143.17,140.22,121.67,149.06,126.88
Gene30719,uc570846.1,138.97,147.19,122.1,146.45,129.61,137.23,132.37
Gene13908,uc414095.2,140.76,149.7,139.13,131.99,125.37,140.21,138.86
Gene43561,uc431567.1,142.34,136.62,120.56,129.33,137.5,132.78,131.65
Gene15357,uc985556.2,127.09,137.52,128.19,122.97,125.72,145.06,141.26
Gene7418,uc514422.2;uc637303.2,122.55,123.83,128.02,141.2,143.99,127.03,138.63
Gene47359,uc172042.2,142.13,132.47,120.05,149.97,132.62,144.65,143.51
Gene33136,uc544350.3,128.68,124.46,147.49,136.18,135.34,123.17,147.22
Gene12596,uc110653.1,139.78,136.85,127.1,139.41,122.93,140.51,121.03
Gene30931,uc684901.2;uc255721.1,122.35,134.48,122.88,140.84,137.91,146.11,142.61
Gene10980,uc609589.3,148.68,148.81,131.23,139.69,121.85,130.23,139.86
Gene46421,uc923677.1;uc749948.1,142.31,145.36,122.84,143.62,138.39,122.48,134.97
Gene30548,uc916939.2;uc530038.3,141.46,144.88,140.58,148.47,124.1,142.08,131.4
Gene23471,uc331726.2;uc661131.1,123.7,133.69,125.02,128.68,149.34,134.62,139.73
Gene14270,uc673146.2,142.64,145.19,136.3,139.77,127.23,120.79,143.06
Gene47836,uc567344.3,131.07,148.89,132.95,136.33,120.41,139.9,144.02
Gene18414,uc210213.1,147.23,122.18,146.18,145.67,146.87,140.34,126.3
Gene3880,uc548599.1,139.3,137.29,137.12,143.15,139.15,130.91,136.16
Gene21888,uc241762.2;uc447802.2,138.73,149.75,124.76,141.98,131.47,139.43,129.31
Gene2645,uc997154.1;uc891785.1,130.92,138.97,123.07,143.91,147.47,147.53,133.25
Gene18059,uc291303.2,130.16,147.42,124.38,134.05,122.28,127.37,140.31
Gene6814,uc531153.3;uc409012.1,122.49,136.8,130.64,132.6,143.83,120.74,123.44
Gene27127,uc735394.1,136.02,123.54,130.48,137.75,125.83,146.31,137.17
Gene44646,uc853479.3;uc122390.3,137.24,147.54,129.26,138.85,127.45,137.66,128.12
Gene35934,uc622692.2;uc284432.1,135.65,121.97,121.89,135.99,142.19,130.64,132.76
Gene14371,uc141955.2,125.69,133.71,124.94,136.26,129.22,128.39,133.15
Gene1177,uc787924.2,143.07,142.87,130.64,126.46,135.28,131.36,136.04
Gene28197,uc560880.1;uc725182.3,127.32,126.99,143.06,143.55,148.04,133.33,124.71
Gene18376,uc336293.3,142.36,121.89,128.6,132.75,132.88,135.73,132.47
Gene38163,uc741122.2,147.26,130.28,123.51,125.98,145.92,145.5,120.96
Gene14575,uc554687.2,131.25,149.89,128.52,123.11,126.9,134.22,148.95
Gene34530,uc241467.2,127.36,143.88,126.51,122.63,143.95,128.2,122.96
Gene43659,uc198480.1,121.8,139.35,129.95,147.61,121.61,135.22,129.35
Gene18503,uc792372.3,148.95,127.47,135.32,148.32,147.17,140.71,129.28
Gene7466,uc269596.1;uc231604.3,136.48,127.59,124.71,148.46,126.56,130.29,132.66
Gene49748,uc910096.1,148.96,147.93,131.85,130.01,145.56,134.58,128.04
Gene3068,uc430258.1,125.32,146.34,132.78,144.88,142.64,122.38,124.09
Gene22751,uc386862.1,120.9,137.64,149.76,148.44,132.71,130.17,136.71
Gene11234,uc779584.2,123.33,149.75,131.6,144.58,139.83,122.28,122.96
Gene13778,uc733873.1,136.6,130.12,139.57,126.23,144.3,148.37,139.15
Gene17666,uc991374.2,126.24,138.44,125.4,145.44,142.01,148.93,171.93
Gene5995,uc667894.3,126.99,127.68,147.36,129.04,124.49,127.67,139.87
Gene41262,uc432724.2;uc639136.1,142.66,137.06,127.09,135.09,142.46,147.9,143.38
Gene39793,uc678362.3,128.56,147.88,143.33,135.22,142.62,148.68,132.01
Gene38597,uc165334.2,129.7,141,132.88,128.29,141.41,149.62,148.69
Gene39401,uc549215.1,143.04,121,147.06,144.98,125.61,122.7,120.73
Gene27200,uc479803.1,130.17,141.8,123.67,120.77,133.67,149.4,147.34
Gene3191,uc284507.1,124.52,146.19,127.09,145.55,122.11,136.34,137.22
Gene16152,uc432878.3,144.36,142.49,139.97,134.04,138.71,121.02,143.44
Gene30343,uc728276.1,142.55,144.06,143.8,148.46,149.17,127.23,126.35
Gene38553,uc193628.1,139,121.36,147.83,121.39,144.45,126.6,122.2
Gene9776,uc648323.2,141.82,143.01,139.93,142.79,148.55,132.1,126.78
Gene34963,uc821529.2;uc515118.2,130.41,149.32,134.76,149.14,127.87,128.77,141.55
Gene9771,uc834269.1;uc382702.1,144.36,127.06,131.45,131.5,140.95,121.34,133.08
Gene16245,uc406851.3;uc650049.3,140.27,136.53,123.3,128.02,137.03,145.38,146.93
Gene15710,uc224521.1,136.61,140.83,135.55,123.07,127.64,140.45,139.58
Gene2449,uc172217.3;uc886170.1,144.44,120.35,137.91,142.81,120.74,128.42,123.54
Gene45045,uc557571.1,138.11,136.65,140.18,129.2,128.51,147.71,149.36
Gene32314,uc637382.3,146.39,126.62,138.39,147.06,143.16,128.89,125.88
Gene39555,uc452644.2,137.64,130.76,134.31,146.29,130.38,125.12,128.4
Gene2944,uc155667.1,124.06,123.83,126.77,146.85,131.36,132.73,138.3
Gene44966,uc485833.3,148.38,125.33,120.05,136.11,127.73,147.71,141.73
Gene28313,uc746953.2,139.14,149.06,138.22,128.5,123.01,126.52,142.26
Gene21237,uc821120.2,139.27,133.8,125.67,141.81,139.4,142.86,128.32
Gene42730,uc488441.1,136.73,137.62,125.12,129.94,143.63,138.05,144.22
Gene16365,uc169913.1,132.38,123.86,147.49,124.65,130,121.15,140.44
Gene9948,uc605353.1,145.91,137.7,143.47,130.7,132.33,134.82,124.69
Gene32921,uc957294.3;uc982973.1,126.94,132.31,139.42,121.42,130.75,127.04,136.33
Gene1315,uc888942.1,140.33,124.03,133.21,129.24,133.73,120.67,124.67
Gene25169,uc225600.3;uc652745.3,126.44,122.06,141.52,126.84,145.2,145.23,126.76
Gene17966,uc507401.3,138.04,127.9,128.22,147.71,131.02,120.41,140.29
Gene36054,uc147150.3,130.28,142.41,138.89,132.01,140.39,128.16,143.66
Gene2186,uc328348.1,124.69,135,141.15,128.03,145.13,130.91,136.11
Gene49681,uc231276.3;uc783966.3,129.18,138.97,143.22,139.69,120.63,140.17,133.71
Gene4971,uc294473.3;uc312654.3,131.63,149.88,123.06,141.03,136.35,142.09,130.68
Gene35734,uc276915.3,125.3,136.21,130.88,130.85,140.72,130.53,135.1
Gene2381,uc625760.2,135.09,122.93,140.23,139.14,128.94,134.97,145.35
Gene38286,uc171931.1,134.45,122.32,144.36,120.9,132,142.53,136.66
Gene37310,uc862342.3,143.01,125.1,130.61,120.39,132.42,140.28,130.29
Gene16021,uc720575.3;uc854393.1,127.08,134.2,144.06,140.44,145.73,139.95,134.78
Gene26191,uc765117.3,124.1,124.16,137.44,148.48,139.04,121.25,147.03
Gene7326,uc917088.3,145.28,132.81,140.67,123.88,132.95,142.93,121.92
Gene28046,uc476175.3;uc410819.2,123.88,141.24,137.99,140.53,144.29,135.43,148.63
Gene28267,uc663240.3,125.55,125.15,149.67,122.34,127.35,136.62,147.59
Gene12552,uc817154.2,122.22,134.38,139.86,144.29,124.15,142.58,122.89
Gene7193,uc934673.1;uc525549.2,145.69,134.8,124.21,140.42,138.35,137.78,123.89
Gene21661,uc182454.2,145.41,128.97,121.58,125.17,138.63,144.89,143.9
Gene19675,uc909201.1,131.54,131.05,138.19,144.4,147.9,147.06,131.07
Gene41742,uc406584.3;uc509659.3,134.71,145.5,130.31,130.28,141.61,131.15,124.02
Gene43285,uc949068.2;uc354749.3,133.62,127.44,148.09,139.21,138.85,130.23,121.34
Gene49682,uc132446.1;uc738875.3,125.67,132.84,124.21,133.81,123.52,123.82,128.02
Gene10472,uc952997.3,133.15,135.96,148.38,131.13,134.79,121.06,136.98
Gene31766,uc707326.2,140.64,134.96,147.61,127.24,138.93,143.25,141.76
Gene1880,uc146669.1,141.49,133.97,124.13,124.02,149.71,120.46,126.3
Gene13948,uc934749.2,145.57,123.01,142.38,146.82,120.12,140.06,123.05
Gene34076,uc853535.2,145.65,124.92,144.1,138.76,147.74,131.38,133.21
Gene6238,uc641780.1,142.09,134.11,140.02,149.33,140,148.81,138.78
Gene11691,uc520944.2;uc152002.3,142.29,127.81,136.38,145.77,140.96,149.02,140.06
Gene7374,uc798838.3,138.32,123.74,148.26,147.51,136.87,138.63,128.89
Gene2547,uc495232.2;uc935744.1,129.04,143.91,126.5,126.14,146.74,134.05,125.88
Gene42018,uc191560.2;uc597066.1,138.23,127.75,147.99,133.3,138.79,131.56,129.04
Gene31853,uc913505.1,132.81,122.73,130.43,124.92,137.52,122.22,135.87
Gene3343,uc187328.1,130.83,128.69,149.35,131.8,125.45,135.23,147.44
Gene47556,uc325700.3,147.96,142.72,132.35,126.81,149.74,137.15,147.09
Gene7852,uc429208.1,134.04,130.55,123.2,132,141.41,121.84,136.83
Gene7380,uc625134.2,132.4,146.18,148.1,130.53,122.25,126.85,128.69
Gene15684,uc562672.2,147.45,131.46,138.25,148.58,122.28,146.46,138.8
Gene14577,uc848805.1;uc542259.1,128.74,145.72,144.89,144.72,135.97,130.94,130.12
Gene33334,uc449198.3;uc802025.1,129.28,136.94,123.61,136.14,139.23,145.46,124.44
Gene32456,uc443626.2,132.77,141.84,144.56,130.57,142.73,141.16,124.27
Gene6855,uc853916.3,140.79,149.87,144.15,148.2,142.4,126.02,145.41
Gene46816,uc471852.3;uc650227.1,120.67,143.47,121.29,148.49,142.38,143.83,120.91
Gene43922,uc550237.3;uc925206.2,139.55,138.25,133.29,121.5,128.9,135.58,122.5
Gene3540,uc153394.3,126.96,149.6,123,143.1,126.25,146.28,142.74
Gene44007,uc417832.2,134.21,136.6,124.68,146.71,126.97,120.1,144.62
Gene4559,uc390399.3,131.3,142.74,121.18,138.39,137.73,120.23,144.09
Gene5939,uc308594.1,141.68,136.57,126.49,126.34,122.09,128.74,125.7
Gene3101,uc692774.1;uc508052.1,147.84,145.58,148.68,127.02,128.55,129.5,136.62
Gene17389,uc327447.3,139.38,143.14,140.39,125.23,148.57,130.74,127.26
Gene37781,uc837788.2,132.3,132.46,142.62,144.16,140.62,134.7,132.48
Gene33576,uc274037.1,122.94,144.34,138.89,134.1,129.19,142.53,121.45
Gene50388,uc828738.2,142.99,141.18,147.63,134.89,147.37,135.93,132.67
Gene21128,uc796403.2;uc253176.1,120.29,141.89,125.74,135.52,125.49,145.29,126.22
Gene1255,uc239367.2,122.94,138.37,145.95,144.71,143.74,143.5,135.37
Gene38371,uc331232.3,143.03,145.68,129.98,133.25,124.91,136.8,149.01
Gene43842,uc510341.1,147.72,135.47,147.86,124.82,148.11,138.33,132.2
Gene6711,uc478028.2;uc884668.1,134.96,138.58,132.27,126.19,149.87,132.31,147.97
Gene9882,uc787730.3,126.97,128.45,137.99,140.39,131.22,126.17,134.89
Gene34915,uc547414.3,133.55,125.36,126.1,147.8,139.1,140.56,131.81
Gene44940,uc447246.2,123.67,135.07,140.65,148.34,138.86,127.74,138
Gene2992,uc292232.1,128.5,140.65,140.9,122.94,136.78,123.47,146.39
Gene9765,uc362720.2;uc834957.3,121.05,123.98,122.56,132.39,149.06,139.78,123.21
Gene9466,uc297361.1;uc952255.1,149.83,138.18,139.82,132.47,136.38,130.4,131.19
Gene19353,uc637535.1,120.8,147.24,127.94,127.87,149.95,132.63,124.84
Gene9082,uc536259.3,140.24,133.35,144.12,129.04,134.05,127.4,141.42
Gene40909,uc491681.1,137.62,141.38,122.43,127.48,146.95,141.65,127.74
Gene1682,uc653400.1;uc719642.3,148.32,144.16,120.13,132.58,141.34,133.3,148.54
Gene47636,uc963035.3,134.43,123.49,136.01,149.35,144,128.42,147.77
Gene47957,uc695179.3,130.5,141.43,140.52,141.1,135.68,149.79,131.64
Gene19635,uc644271.2;uc658783.2,141.6,140.78,121.93,133.83,133.69,121.54,131.7
Gene12926,uc480832.1,141.65,137.8,121.74,127.27,140.23,145.23,126.28
Gene8708,uc904864.2,143.69,120.96,135.74,138.6,136.21,122.12,147.31
Gene1558,uc476932.3,120.36,145.54,146.4,145.92,144.14,130.51,129.85
Gene4325,uc165578.2,129.45,121.81,145.31,121.94,129.29,135.11,142.97
Gene39134,uc976387.1,143.46,128.15,144.22,122.62,120.54,127.47,130.57
Gene50832,uc898243.1;uc850362.1,133.37,126.07,132.76,122.92,139.27,122.82,140.57
Gene11473,uc641705.3,125.01,136.48,132.31,131.46,148.92,145.41,122.67
Gene14808,uc121322.3;uc658579.2,137.39,127.94,124.54,145.07,124.55,130.31,126.96
Gene1380,uc211398.3,133.7,123.47,131.41,121.7,141.54,132.18,120.69
Gene29867,uc319363.3;uc992022.2,134.27,123.04,136.58,144.88,148.47,126.42,135.19
Gene50333,uc613892.3,144.5,120.97,147.74,123.06,142.73,135.75,123.39
Gene26917,uc666314.2;uc342260.3,122.06,139.85,121.55,128.58,141.89,144.67,128.94
Gene14384,uc341575.2,146.13,135.44,128.42,136.16,137.76,121.74,146.59
Gene11093,uc889186.2,120.42,131.75,149.82,128.64,134.9,120.16,138.6
Gene13355,uc909076.1;uc476752.3,121.7,147.94,146.76,148.94,137.07,121.49,138.68
Gene29587,uc147484.3;uc414934.1,147.42,142.36,129.75,124.18,132.68,131.42,136.45
Gene6561,uc774991.3,140.97,145.23,125.31,143.6,143.29,137.11,120.77
Gene31432,uc116525.2,135.63,144.25,136.25,131.17,132.28,120.7,141.45
Gene31367,uc629776.1;uc407859.1,131.93,134.82,128.37,132.55,132.22,128.91,144.64
Gene40009,uc508805.3,143.13,123.32,125.32,135.18,128.93,120.18,125.21
Gene23474,uc197725.2,130.71,124.14,138.52,126.77,138.36,120.49,143
Gene2664,uc213712.1,130.09,149.41,137.18,133.39,141.58,121.35,125.69
Gene49368,uc773097.2,125.23,120.6,123.14,124.93,120.42,123.4,142.4
Gene29829,uc442004.1,120.68,126.82,147.53,128.66,143.61,132.15,149.91
Gene34124,uc160454.1,134.45,131.95,130.4,122.22,122.7,121.66,146.67
Gene2845,uc175703.3,130.7,133.49,131.4,128.76,130.34,140.47,143.49
Gene25032,uc111725.1,145.47,146.73,121.79,136.73,146.22,133.88,144.88
Gene22487,uc330938.1,128.98,124.89,148.92,124.61,143.72,146.65,136.56
Gene47267,uc555777.1;uc920007.1,131.39,121.91,134.03,137.27,149.64,127.67,121.86
Gene16121,uc689161.2,141.92,131.02,134.6,126.49,138.02,147.67,126.21
Gene9012,uc842675.3;uc497359.2,147.54,139.82,133.18,130.5,145.84,146.29,148.15
Gene20055,uc554010.2;uc657719.2,136.63,120.64,124.71,145.41,135.09,142.89,141.2
Gene8821,uc882946.2,130.79,139.97,139.34,127.79,141.34,124.95,138.24
Gene47309,uc775316.2,131.69,132.99,123.19,147.51,127.1,140.65,140.21
Gene41477,uc123722.3,132.45,121.93,123.98,149.28,143.5,120.31,140.95
Gene35017,uc846166.1,148.09,142.09,139.22,143.25,125.53,133.09,129.47
Gene50633,uc860074.3,148.4,126.9,145.72,121.5,129.59,133.85,137.66
Gene28612,uc115532.1;uc818860.3,137.89,145.52,123.85,121.85,144.47,128.03,121.6
Gene6226,uc456551.2,147.93,148.72,141.34,139.15,144.43,132.6,142.65
Gene22574,uc887127.3,146.83,135.54,121.79,132.05,124.28,138.62,147.83
Gene21786,uc311121.2;uc551611.2,133.45,139.76,133.76,126.27,126.97,121.07,122.69
Gene28981,uc284769.1,120.33,139.87,139.5,142.8,120.66,129.88,124.11
Gene10382,uc215926.1;uc757469.3,124.15,125.38,124.05,144.35,124.66,139.83,141.76
Gene1695,uc772323.3;uc499697.1,146.37,121.74,149.87,125.14,135.2,136.45,140.6
Gene31361,uc617343.3,145.01,120.99,121.82,144.84,125.47,138.91,142.21
Gene36380,uc524112.3;uc809930.1,123.84,135.25,138.04,137.82,139.71,148.18,147.27
Gene46378,uc541842.2,121.1,121.82,140.98,141.99,146.47,136.55,124.74
Gene2145,uc740950.1;uc787374.3,142.51,123.56,142.11,147.14,140.57,122.81,149.86
Gene1838,uc308987.1;uc328861.1,140.15,130.73,123.47,142.17,149.93,128.85,141.6
Gene7754,uc109705.2;uc266365.1,137.08,122.5,132.26,126.75,122.07,137.43,139.51
Gene47614,uc403720.1,132.29,128.73,135.76,124.79,138.1,128.29,146.57
Gene43988,uc157221.2,126.7,137.06,124.45,133.71,125.7,131.1,131.13
Gene29140,uc821956.3,129.3,144.98,140.45,148.43,135.34,145.36,131.76
Gene44907,uc670500.2,145.19,120.71,126.01,143.96,136.38,129.29,125.04
Gene12643,uc814389.2,123.75,120.18,134.78,148.52,121.4,123.22,143.28
Gene39502,uc867541.1,141.48,122.1,122.46,124.91,123.78,137.86,145.57
Gene47409,uc539495.3,146.45,135.98,122.78,138.84,149.44,131.59,134.41
Gene26805,uc151309.3;uc928549.1,131.39,148.31,147.17,120.79,143.2,128.56,134.83
Gene40173,uc293014.2;uc796514.1,134.53,147.11,145.22,135.1,129.77,126.05,120.43
Gene1464,uc794630.2,143.67,129.09,139.29,139.45,139.03,121.43,136.67
Gene33068,uc729143.3,149.38,137.27,140.77,131.31,144.32,149.97,133.56
Gene8759,uc479192.2,121.2,134.88,132.02,136.06,145.44,147.53,125.27
Gene12325,uc751806.2,133.13,140.53,145.83,149.2,133.93,143.31,129.74
Gene46251,uc208462.1,138.12,122.76,146.84,144.76,129.59,138.31,133.08
Gene30341,uc914022.3,132.03,144.31,140.01,137.49,140.14,122.8,149.23
Gene9625,uc705633.3,139.16,144.82,129.64,122.44,133.82,124.75,121.32
Gene2835,uc715481.3,124.81,125.45,133.78,136.7,128.34,127.38,135.24
Gene19609,uc659372.3,140.88,132.12,128.4,148.75,137.3,139.94,132.29
Gene24390,uc933102.3,138.33,142.62,135.7,132.62,144.89,142.9,120.25
Gene36366,uc423391.2,120.92,142.3,132.66,138.02,141.91,130.12,146.05
Gene50322,uc537168.1,121.32,124.7,137.53,122.68,124.52,145.69,132.77
Gene9083,uc976012.2,125.37,128.1,139.13,134.78,137.45,143.92,132.77
Gene7488,uc355207.2,125.16,127.88,135.01,124.47,136.62,122.63,145.53
